Item Name,Qty,Price (total) (USD),Item link,Notes
HW-040 360 Degree Rotary Encoder Module,1,$0.58,https://www.aliexpress.com/i/4001027735982.html,
128X64 0.96 inch OLED Module,1,$1.06,https://www.aliexpress.com/i/32805708464.html,
ELEGOO ESP-32 Dev Board,1,$16.99,https://www.amazon.com/dp/B0D8T53CQ5?ref=clp_cat_related_p_0&currency=USD,"This is a 3 pack of the correct ESP32, I couldn't find them in single packs."
AA x2 Double Side Battery Holder,1,$3.40,https://www.ebay.com/itm/254646729123?chn=ps&mkevt=1&mkcid=28&var=554695432330&google_free_listing_action=view_item&srsltid=AU7gw4Vma__uR93r1F5QwdD6DBC5oE9ANeM5KXRjdNMFptC49Ez4xrGP2H0,This is for people who want a similar battery setup to mine
AA Batteries x2,1,$4.25,https://www.amazon.com/MAX-Alkaline-Batteries-Pack-Battery/dp/B00000DM99/ref=sr_1_7?crid=19R4O3R6MBDJE&dib=eyJ2IjoiMSJ9.cefzBtNmxBWloqNKisPT7HPl7BogvdKWLOF5POKkb1uwQKBFbVA1uT6bleFKiEwpPA6OPwB8ItCzlwEOqhaY9fOrOMJQQSExqPMTS98eQCRLmT7nbNtmZbx-gmf641KnAU-8e6CXPoCOYKB3xxLar8cS9h2Z0V12yXdDorzS9F7gckGB7fCNSlQUSUHuGKfxWrFTjIz3adAEJ881xkMLBz-rJXzYzu3uHnJcZ5MtnHz9welDXhapmK252ln5939SPIwrXa19TzJz3t6RaJLAxD9UeNAKwjWoIP18Rv0nEPA.SenkAClbxSnhyDhrTXBwyCDsU-8c_96vMJsGi3wmc-M&dib_tag=se&keywords=2%2Baa%2Bbatteries&qid=1790229465&sprefix=2%2BAA%2Bba%2Caps%2C386&sr=8-7&th=1,
M2 Hex Flat Head Screw Set,1,$15.01,https://www.amazon.com/dp/B0DHZSPYHH?lv=shuf&channelId=500&plpRedirect=mhFallback,This is a set of the correct type of screws.
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Total Price (USD):,$41.29,,,
